Energy Grid,Fitness,N_Groups
"[np.int64(101), np.int64(104), np.int64(119), np.int64(129), np.int64(132), np.int64(134), np.int64(142), np.int64(144), np.int64(158), np.int64(161), np.int64(163), np.int64(165), np.int64(168), np.int64(186), np.int64(187), np.int64(195), np.int64(196), np.int64(197), np.int64(206), np.int64(211), np.int64(215), np.int64(216), np.int64(222)]",0.043199263945905786,23.0
"[np.int64(107), np.int64(119), np.int64(120), np.int64(129), np.int64(134), np.int64(139), np.int64(158), np.int64(161), np.int64(168), np.int64(177), np.int64(186), np.int64(192), np.int64(193), np.int64(196), np.int64(197), np.int64(202), np.int64(209), np.int64(213), np.int64(215), np.int64(222)]",0.04536808232732048,20.0
"[np.int64(45), np.int64(96), np.int64(118), np.int64(127), np.int64(130), np.int64(134), np.int64(135), np.int64(136), np.int64(142), np.int64(152), np.int64(154), np.int64(158), np.int64(160), np.int64(161), np.int64(168), np.int64(181), np.int64(188), np.int64(193), np.int64(194), np.int64(196), np.int64(198), np.int64(201), np.int64(209), np.int64(213), np.int64(217), np.int64(219), np.int64(222), np.int64(223)]",0.04005003363511572,28.0
"[np.int64(103), np.int64(121), np.int64(129), np.int64(142), np.int64(153), np.int64(158), np.int64(161), np.int64(170), np.int64(181), np.int64(188), np.int64(196), np.int64(197), np.int64(198), np.int64(200), np.int64(208), np.int64(213), np.int64(222)]",0.04858475404074336,17.0
"[np.int64(45), np.int64(67), np.int64(97), np.int64(119), np.int64(125), np.int64(127), np.int64(130), np.int64(134), np.int64(135), np.int64(139), np.int64(142), np.int64(152), np.int64(154), np.int64(158), np.int64(160), np.int64(161), np.int64(165), np.int64(168), np.int64(181), np.int64(187), np.int64(194), np.int64(196), np.int64(198), np.int64(201), np.int64(209), np.int64(213), np.int64(216), np.int64(219), np.int64(221), np.int64(222)]",0.038777781057496075,30.0
"[np.int64(28), np.int64(89), np.int64(109), np.int64(113), np.int64(122), np.int64(129), np.int64(134), np.int64(135), np.int64(139), np.int64(158), np.int64(160), np.int64(161), np.int64(168), np.int64(186), np.int64(194), np.int64(196), np.int64(197), np.int64(201), np.int64(209), np.int64(213), np.int64(215), np.int64(222)]",0.04385077223260858,22.0
"[np.int64(78), np.int64(97), np.int64(109), np.int64(111), np.int64(118), np.int64(129), np.int64(134), np.int64(142), np.int64(147), np.int64(156), np.int64(158), np.int64(160), np.int64(161), np.int64(162), np.int64(169), np.int64(181), np.int64(186), np.int64(190), np.int64(192), np.int64(196), np.int64(197), np.int64(201), np.int64(209), np.int64(213), np.int64(215), np.int64(222)]",0.04123109367319133,26.0
"[np.int64(103), np.int64(120), np.int64(128), np.int64(142), np.int64(158), np.int64(161), np.int64(170), np.int64(185), np.int64(191), np.int64(196), np.int64(197), np.int64(198), np.int64(200), np.int64(208), np.int64(214), np.int64(222)]",0.05003486092090548,16.0
"[np.int64(103), np.int64(120), np.int64(142), np.int64(158), np.int64(161), np.int64(168), np.int64(186), np.int64(195), np.int64(197), np.int64(198), np.int64(200), np.int64(208), np.int64(214), np.int64(222)]",0.0532636360133828,14.0
"[np.int64(103), np.int64(119), np.int64(130), np.int64(134), np.int64(142), np.int64(158), np.int64(170), np.int64(186), np.int64(194), np.int64(197), np.int64(198), np.int64(200), np.int64(208), np.int64(214), np.int64(222)]",0.05098226834671793,15.0
"[np.int64(103), np.int64(120), np.int64(129), np.int64(142), np.int64(154), np.int64(158), np.int64(161), np.int64(171), np.int64(177), np.int64(186), np.int64(195), np.int64(197), np.int64(198), np.int64(200), np.int64(208), np.int64(212), np.int64(214), np.int64(222)]",0.04827738183397312,18.0
"[np.int64(41), np.int64(53), np.int64(85), np.int64(92), np.int64(102), np.int64(108), np.int64(118), np.int64(126), np.int64(130), np.int64(132), np.int64(134), np.int64(142), np.int64(154), np.int64(158), np.int64(160), np.int64(161), np.int64(168), np.int64(171), np.int64(181), np.int64(187), np.int64(194), np.int64(196), np.int64(198), np.int64(201), np.int64(209), np.int64(213), np.int64(215), np.int64(219), np.int64(222)]",0.039722719763866654,29.0
"[np.int64(107), np.int64(119), np.int64(129), np.int64(134), np.int64(140), np.int64(157), np.int64(158), np.int64(161), np.int64(168), np.int64(177), np.int64(186), np.int64(192), np.int64(193), np.int64(196), np.int64(197), np.int64(209), np.int64(213), np.int64(214), np.int64(222)]",0.04589147104954472,19.0
"[np.int64(70), np.int64(105), np.int64(119), np.int64(129), np.int64(134), np.int64(142), np.int64(144), np.int64(153), np.int64(158), np.int64(161), np.int64(169), np.int64(181), np.int64(189), np.int64(195), np.int64(197), np.int64(198), np.int64(201), np.int64(211), np.int64(212), np.int64(213), np.int64(215), np.int64(221), np.int64(222), np.int64(223)]",0.04234882784999616,24.0
"[np.int64(103), np.int64(122), np.int64(142), np.int64(158), np.int64(171), np.int64(186), np.int64(197), np.int64(198), np.int64(200), np.int64(208), np.int64(214), np.int64(222)]",0.061211874057245264,12.0
"[np.int64(103), np.int64(122), np.int64(142), np.int64(158), np.int64(171), np.int64(186), np.int64(194), np.int64(197), np.int64(198), np.int64(200), np.int64(208), np.int64(214), np.int64(222)]",0.057375336339835825,13.0
